stack_position_cm,q_cold_watts,cop
1.0,-9e-05,-0.0286
1.47,0.00024,0.0795
1.94,2e-05,0.0051
2.41,-9e-05,-0.0316
2.88,7e-05,0.0222
3.35,0.00029,0.0964
3.82,5e-05,0.0182
4.29,0.00036,0.1203
4.76,0.00022,0.0743
5.22,1e-05,0.0021
5.69,0.00048,0.1613
6.16,0.00034,0.1117
6.63,0.00041,0.136
7.1,0.00046,0.153
7.57,0.00047,0.1559
8.04,0.00041,0.138
8.51,0.00047,0.1569
8.98,0.0009,0.2993
9.45,0.0006,0.2001
9.92,0.00083,0.2769
10.39,0.00075,0.2496
10.86,0.00119,0.3979
11.33,0.00063,0.2099
11.8,0.00083,0.275
12.27,0.001,0.3339
12.73,0.00125,0.4171
13.2,0.00107,0.3579
13.67,0.00082,0.2721
14.14,0.00134,0.4474
14.61,0.0009,0.3014
15.08,0.00166,0.5549
15.55,0.00132,0.4392
16.02,0.00149,0.4975
16.49,0.00162,0.5386
16.96,0.00202,0.6718
17.43,0.00218,0.726
17.9,0.00203,0.6758
18.37,0.002,0.6671
18.84,0.00223,0.7447
19.31,0.00234,0.7799
19.78,0.00201,0.6703
20.24,0.00216,0.7209
20.71,0.00209,0.6954
21.18,0.00261,0.8685
21.65,0.00238,0.7945
22.12,0.00244,0.8148
22.59,0.00248,0.8271
23.06,0.00265,0.8831
23.53,0.00301,1.004
24.0,0.00346,1.1525
